token	tag_cafeteria_binary
The	O
nutritional	O
value	O
of	O
gluten	B
-	I
free	I
products	I
is	O
the	O
subject	O
of	O
interest	O
for	O
food	O
technologists	O
and	O
nutritionists	O
,	O
as	O
the	O
only	O
effective	O
treatment	O
for	O
celiac	O
disease	O
is	O
a	O
lifelong	O
gluten	O
-	O
free	O
diet	O
.	O
As	O
selenium	O
deficiencies	O
in	O
celiac	O
disease	O
are	O
observed	O
,	O
the	O
aim	O
of	O
the	O
study	O
was	O
to	O
determine	O
the	O
selenium	O
content	O
in	O
27	O
grain	B
gluten	I
-	I
free	I
products	I
available	O
on	O
the	O
European	O
Union	O
(	O
EU	O
)	O
market	O
.	O
Moreover	O
,	O
selenium	O
content	O
in	O
products	O
based	O
on	O
popular	O
gluten	B
-	I
free	I
cereals	I
like	O
corn	B
,	O
rice	B
,	O
and	O
buckwheat	B
and	O
in	O
relatively	O
new	O
or	O
less	O
popular	O
products	O
based	O
on	O
oat	B
,	O
amaranth	B
,	O
teff	B
,	O
and	O
quinoa	B
was	O
compared	O
.	O
Selenium	O
content	O
in	O
the	O
tested	O
products	O
ranged	O
from	O
0.9	O
to	O
24.5	O
μg/100	O
g.	O
The	O
average	O
content	O
of	O
selenium	O
in	O
products	O
based	O
on	O
popular	O
gluten	B
-	I
free	I
cereals	I
was	O
2.8	O
μg/100	O
g	O
and	O
in	O
products	O
based	O
on	O
oat	B
,	O
amaranth	B
,	O
teff	B
,	O
and	O
quinoa	B
was	O
10.8	O
μg/100	O
g.	O
It	O
indicates	O
that	O
products	O
based	O
on	O
less	O
popular	O
grains	B
,	O
especially	O
on	O
oat	B
,	O
should	O
be	O
more	O
frequently	O
chosen	O
as	O
a	O
source	O
of	O
selenium	O
by	O
people	O
on	O
gluten	O
-	O
free	O
diet	O
than	O
traditionally	O
consumed	O
gluten	B
-	I
free	I
grains	I
.	O
Dairy	O
sheep	O
have	O
been	O
farmed	O
traditionally	O
in	O
the	O
Mediterranean	O
basin	O
in	O
southern	O
Europe	O
,	O
central	O
Europe	O
,	O
eastern	O
Europe	O
,	O
and	O
in	O
Near	O
East	O
countries	O
.	O
Currently	O
,	O
dairy	O
sheep	O
farming	O
systems	O
vary	O
from	O
extensive	O
to	O
intensive	O
according	O
to	O
the	O
economic	O
relevance	O
of	O
the	O
production	O
chain	O
and	O
the	O
specific	O
environment	O
and	O
breed	O
.	O
Modern	O
breeding	O
programs	O
were	O
conceived	O
in	O
the	O
1960s	O
.	O
The	O
most	O
efficient	O
selection	O
scheme	O
for	O
local	O
dairy	O
sheep	O
breeds	O
is	O
based	O
on	O
pyramidal	O
management	O
of	O
the	O
population	O
with	O
the	O
breeders	O
of	O
nucleus	O
flocks	O
at	O
the	O
top	O
,	O
where	O
pedigree	O
and	O
official	O
milk	O
recording	O
,	O
artificial	O
insemination	O
,	O
controlled	O
natural	O
mating	O
,	O
and	O
breeding	O
value	O
estimation	O
are	O
carried	O
out	O
to	O
generate	O
genetic	O
progress	O
.	O
The	O
genetic	O
progress	O
is	O
then	O
transferred	O
to	O
the	O
commercial	O
flocks	O
through	O
artificial	O
insemination	O
or	O
natural	O
-	O
mating	O
rams	O
.	O
Increasing	O
milk	O
yield	O
is	O
still	O
the	O
most	O
profitable	O
breeding	O
objective	O
for	O
several	O
breeds	O
.	O
Almost	O
all	O
milk	B
is	O
used	O
for	O
cheese	O
production	O
and	O
,	O
consequently	O
,	O
milk	O
content	O
traits	O
are	O
very	O
important	O
.	O
Moreover	O
,	O
other	O
traits	O
are	O
gaining	O
interest	O
for	O
selection	O
:	O
machine	O
milking	O
ability	O
and	O
udder	O
morphology	O
,	O
resistance	O
to	O
diseases	O
(	O
mastitis	O
,	O
internal	O
parasites	O
,	O
scrapie	O
)	O
,	O
and	O
traits	O
related	O
to	O
the	O
nutritional	O
value	O
of	O
milk	B
(	O
fatty	O
acid	O
composition	O
)	O
.	O
Current	O
breeding	O
programs	O
based	O
on	O
the	O
traditional	O
quantitative	O
approach	O
have	O
achieved	O
appreciable	O
genetic	O
gains	O
for	O
milk	O
yield	O
.	O
In	O
many	O
cases	O
,	O
further	O
selection	O
goals	O
such	O
as	O
milk	O
composition	O
,	O
udder	O
morphology	O
,	O
somatic	O
cell	O
count	O
,	O
and	O
scrapie	O
resistance	O
have	O
been	O
implemented	O
.	O
However	O
,	O
the	O
possibility	O
of	O
including	O
other	O
traits	O
of	O
selective	O
interest	O
is	O
limited	O
by	O
high	O
recording	O
costs	O
.	O
Also	O
,	O
the	O
organizational	O
effort	O
needed	O
to	O
apply	O
the	O
traditional	O
quantitative	O
approach	O
limits	O
the	O
diffusion	O
of	O
current	O
selection	O
programs	O
outside	O
the	O
European	O
Mediterranean	O
area	O
.	O
In	O
this	O
context	O
,	O
the	O
application	O
of	O
selection	O
schemes	O
assisted	O
by	O
molecular	O
information	O
,	O
to	O
improve	O
either	O
traditional	O
dairy	O
traits	O
or	O
traits	O
costly	O
to	O
record	O
,	O
seems	O
to	O
be	O
attractive	O
in	O
dairy	O
sheep	O
.	O
At	O
the	O
moment	O
,	O
the	O
most	O
effective	O
strategy	O
seems	O
to	O
be	O
the	O
strengthening	O
of	O
research	O
projects	O
aimed	O
at	O
finding	O
causal	O
mutations	O
along	O
the	O
genes	O
affecting	O
traits	O
of	O
economic	O
importance	O
.	O
However	O
,	O
genome	O
-	O
wide	O
selection	O
seems	O
to	O
be	O
unfeasible	O
in	O
most	O
dairy	O
sheep	O
breeds	O
.	O
Over	O
the	O
years	O
,	O
doubts	O
have	O
arisen	O
concerning	O
the	O
use	O
of	O
milk	B
as	O
a	O
calcium	O
source	O
in	O
the	O
prevention	O
of	O
osteoporosis	O
,	O
particularly	O
because	O
of	O
potential	O
offsetting	O
effects	O
of	O
protein	O
and	O
phosphorus	O
.	O
