ID|Food Concept|URLs
B000000|WORCESTERSHIRE SAUCE|http://purl.obolibrary.org/obo/FOODON_03305003;http://purl.obolibrary.org/obo/FOODON_03311146
B000001|CREAM CHEESE|http://purl.obolibrary.org/obo/FOODON_03301889
B000002|MIXTURE|http://purl.obolibrary.org/obo/CHEBI_60004
B000003|WALNUTS|http://purl.obolibrary.org/obo/NCBITaxon_16718
B000004|ONION|http://purl.obolibrary.org/obo/FOODON_03316347;http://purl.obolibrary.org/obo/NCBITaxon_4679
B000005|FIRM|http://purl.obolibrary.org/obo/PATO_0002450
B000006|MOZZARELLA CHEESE|http://purl.obolibrary.org/obo/FOODON_03303578
B000007|MAYONNAISE|http://purl.obolibrary.org/obo/FOODON_03301440
B000008|ARTICHOKE|http://purl.obolibrary.org/obo/NCBITaxon_59895
B000009|TORTILLA|http://purl.obolibrary.org/obo/FOODON_03307668
B000010|PROVOLONE CHEESE|http://purl.obolibrary.org/obo/FOODON_03302916
B000011|GARLIC|http://purl.obolibrary.org/obo/NCBITaxon_4682
B000012|WATER|http://purl.obolibrary.org/obo/ENVO_00002006
B000013|LAYER|http://purl.obolibrary.org/obo/ENVO_01000281
B000014|OIL|http://purl.obolibrary.org/obo/FOODON_03310387
B000015|LEMON JUICE|http://purl.obolibrary.org/obo/FOODON_03301441;http://purl.obolibrary.org/obo/FOODON_03305428
B000016|OLIVE OIL|http://purl.obolibrary.org/obo/FOODON_03310387;http://purl.obolibrary.org/obo/FOODON_03301826
B000017|GARBANZO|http://purl.obolibrary.org/obo/NCBITaxon_3827
B000018|PROCESS|http://purl.obolibrary.org/obo/BFO_0000015
B000019|HONEY|http://purl.obolibrary.org/obo/UBERON_0036016
B000020|SALT|http://purl.obolibrary.org/obo/CHEBI_24866
B000021|FOOD|http://purl.obolibrary.org/obo/CHEBI_33290
B000022|VEGETABLE OIL|http://purl.obolibrary.org/obo/FOODON_03305263;http://purl.obolibrary.org/obo/FOODON_03310387
B000023|CHICKEN|http://purl.obolibrary.org/obo/FOODON_03411457;http://purl.obolibrary.org/obo/NCBITaxon_9031
B000024|COOKIE|http://purl.obolibrary.org/obo/FOODON_03301585
B000025|SAUCE|http://purl.obolibrary.org/obo/FOODON_03311146
B000026|CORN|http://purl.obolibrary.org/obo/NCBITaxon_381124
B000027|SALAD DRESSING|http://purl.obolibrary.org/obo/FOODON_03303223;http://purl.obolibrary.org/obo/FOODON_00001290;http://purl.obolibrary.org/obo/FOODON_03316042;http://purl.obolibrary.org/obo/FOODON_03315498
B000028|CHEDDAR CHEESE|http://purl.obolibrary.org/obo/FOODON_03302458
B000029|PLASTIC|http://purl.obolibrary.org/obo/FOODON_03500036
B000030|MILK|http://purl.obolibrary.org/obo/UBERON_0001913
B000031|RICE|http://purl.obolibrary.org/obo/NCBITaxon_4530
B000032|LEAF|http://purl.obolibrary.org/obo/PO_0025034
B000033|BROWN SUGAR|http://purl.obolibrary.org/obo/FOODON_03420108;http://purl.obolibrary.org/obo/FOODON_03302833;http://purl.obolibrary.org/obo/FOODON_03420156
