,ID,Food Concept,URLs
0,B000000,WORCESTERSHIRE SAUCE,FOODON_03305003;FOODON_03311146
1,B000001,CREAM CHEESE,FOODON_03301889
2,B000002,MIXTURE,CHEBI_60004
3,B000003,WALNUTS,NCBITaxon_16718
4,B000004,ONION,FOODON_03316347;NCBITaxon_4679
5,B000005,FIRM,PATO_0002450
6,B000006,MOZZARELLA CHEESE,FOODON_03303578
7,B000007,MAYONNAISE,FOODON_03301440
8,B000008,ARTICHOKE,NCBITaxon_59895
9,B000009,TORTILLA,FOODON_03307668
10,B000010,PROVOLONE CHEESE,FOODON_03302916
11,B000011,GARLIC,NCBITaxon_4682
12,B000012,WATER,ENVO_00002006
13,B000013,LAYER,ENVO_01000281
14,B000014,OIL,FOODON_03310387
15,B000015,LEMON JUICE,FOODON_03301441;FOODON_03305428
16,B000016,OLIVE OIL,FOODON_03310387;FOODON_03301826
17,B000017,GARBANZO,NCBITaxon_3827
18,B000018,PROCESS,BFO_0000015
19,B000019,HONEY,UBERON_0036016
20,B000020,SALT,CHEBI_24866
21,B000021,FOOD,CHEBI_33290
22,B000022,VEGETABLE OIL,FOODON_03305263;FOODON_03310387
23,B000023,CHICKEN,FOODON_03411457;NCBITaxon_9031
24,B000024,COOKIE,FOODON_03301585
25,B000025,SAUCE,FOODON_03311146
26,B000026,CORN,NCBITaxon_381124
27,B000027,SALAD DRESSING,FOODON_03303223;FOODON_00001290;FOODON_03316042;FOODON_03315498
28,B000028,CHEDDAR CHEESE,FOODON_03302458
29,B000029,PLASTIC,FOODON_03500036
30,B000030,MILK,UBERON_0001913
31,B000031,RICE,NCBITaxon_4530
32,B000032,LEAF,PO_0025034
33,B000033,BROWN SUGAR,FOODON_03420108;FOODON_03302833;FOODON_03420156
34,B000034,BEET JUICE,FOODON_03302034;NCBITaxon_161934
35,B000035,CINNAMON,NCBITaxon_128608;FOODON_03301175
36,B000036,VINEGAR,FOODON_03301705
37,B000037,LIQUID,FOODON_03412974
38,B000038,SIZE,PATO_0000117
39,B000039,HARD,PATO_0000386
40,B000040,VANILLA EXTRACT,FOODON_03316764;NCBITaxon_51238
41,B000041,WHITE SUGAR,FOODON_03420108;FOODON_03420157
42,B000042,VANILLA,FOODON_03411355;NCBITaxon_51238
43,B000043,ALMOND,NCBITaxon_3755
44,B000044,LIME JUICE,FOODON_03305086;FOODON_03306160
45,B000045,ORANGE,FOODON_03309832
46,B000046,SOY SAUCE,FOODON_03311146;FOODON_03301115
47,B000047,CARROTS,NCBITaxon_4039
48,B000048,BATTER,FOODON_03301304
49,B000049,FLOUR,FOODON_03301116
50,B000050,GARLIC SALT,NCBITaxon_4682;FOODON_03307739;CHEBI_24866
51,B000051,SAUERKRAUT,FOODON_03301397
52,B000052,SOFT,PATO_0000387
53,B000053,GARLIC POWDER,FOODON_03301844;NCBITaxon_4682
54,B000054,SOUR CREAM,FOODON_03302515
55,B000055,BUTTER,FOODON_03310351
56,B000056,SEAL,NCBITaxon_9709
57,B000057,PIZZA SAUCE,FOODON_03306786;FOODON_03311146
58,B000058,PEPPERONI,FOODON_03311003
59,B000059,PEPPERS,NCBITaxon_4071
60,B000060,BANANA,NCBITaxon_89151;NCBITaxon_4641
61,B000061,DRESSING,FOODON_03315498
62,B000062,JAR,FOODON_03490215
63,B000063,MEATBALL,FOODON_03317284
64,B000064,BOILING,FOODON_03450014
65,B000065,SALTED,FOODON_03460173
66,B000066,SPRAY,FOODON_03430168
67,B000067,PASTA,FOODON_03306347
68,B000068,NUTMEG,FOODON_03316426;NCBITaxon_51089
69,B000069,SUGAR,FOODON_03420108
70,B000070,SYRUP,FOODON_03303225;FOODON_03430167
71,B000071,BLUE CHEESE DRESSING,FOODON_03303510;FOODON_03315498;FOODON_00001065
72,B000072,BLUE CHEESE,FOODON_03301128;FOODON_00001065
73,B000073,MARGARINE,FOODON_03301672
74,B000074,GINGER,NCBITaxon_94328
75,B000075,CRAB,FOODON_03411335
76,B000076,SEAWEED,FOODON_03412266
77,B000077,ITALIAN DRESSING,ancestro_0307;FOODON_03315498;FOODON_03303447
78,B000078,ITALIAN,ancestro_0307;hancestro_0307
79,B000079,HORSERADISH,FOODON_03316284
80,B000080,SHRIMP,FOODON_03411237
81,B000081,PEAS,NCBITaxon_3888
82,B000082,GLASS,FOODON_03500040
83,B000083,AVOCADO,NCBITaxon_3435;FOODON_03305236
84,B000084,SALSA,FOODON_03310086
85,B000085,CHILI POWDER,FOODON_03302030
86,B000086,TACO SAUCE,FOODON_03311146;FOODON_03302032
87,B000087,MUSHROOM,FOODON_00001287
88,B000088,GOAT,FOODON_03411328;NCBITaxon_9925
89,B000089,ONION POWDER,FOODON_03316347;FOODON_03301845
90,B000090,SPINACH,NCBITaxon_3562
91,B000091,TURKEY,GAZ_00000558;NCBITaxon_9103
