ID|Food Concept|Semantic Tags
A000000|CREAM CHEESE|AG.01.e [Dairy produce];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food]
A000001|BEEF|AG.01.d.03 [Beef];AG.01 [Food]
A000002|OLIVES|AG.01.h.01.e [Fruit containing stone]
A000003|ONION|AG.01.h.02.e [Onion/leek/garlic]
A000004|WORCESTERSHIRE SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A000005|WALNUTS|AF.20.c [Edible nuts/nut-trees];AG.01 [Food];AG.01.h.01.f [Nut]
A000006|CHEESE BALL|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000007|ARTICHOKE HEARTS|AG.01.h.02.b [Stalk vegetables]
A000008|MOZZARELLA CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000009|PARMESAN CHEESE|AG.01.ak [Drinking];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000010|MAYONNAISE|AG.01.n.01 [Food by way of preparation];AG.01.l.04 [Sauce/dressing]
A000011|ALMONDS|AF.20.c [Edible nuts/nut-trees];AG.01 [Food];AG.01.n.17 [Confections/sweetmeats];AG.01.h.01.f [Nut]
A000012|TORTILLA CHIPS|AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake];AG.01.h.01 [Fruit/a fruit]
A000013|CRACKERS|AG.01.n.14 [Biscuit];AG.01 [Food]
A000014|WATER|AG.01.z [Water]
A000015|SUN-DRIED TOMATOES|AG.01.h.02.f [Fruits as vegetables]
A000016|GARLIC|AG.01.h.02.e [Onion/leek/garlic]
A000017|PROVOLONE CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000018|PESTO|AG.01 [Food]
A000019|GARLIC MIXTURE|AG.01.h.02.e [Onion/leek/garlic];AG.01.af [Tea manufacture]
A000020|PROVOLONE|AG.01 [Food]
A000021|EXCESS OIL|AG.01.f [Fat/oil]
A000022|SALT|AG.01.l.01 [Salt];AG.01.w [Setting table];AG.01 [Food]
A000023|GARBANZO BEANS|AG.01.h.02.g [Pulse]
A000024|TAHINI|AG.01 [Food]
A000025|LEMON JUICE|AG.01.y.01.a [Wine];AG.01.ab [Fruit juice/squash];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.m [Substances for food preparation];AG.01.h.01.a [Citrus fruit]
A000026|HONEY|AG.01.m [Substances for food preparation];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A000027|BEANS|AG.01.h.02.g [Pulse];AF.20.f [Pulses/plants producing pulses]
A000028|OLIVE OIL|AG.01.h.01.e [Fruit containing stone];AG.01.f [Fat/oil]
A000029|PITA BREADS|AG.01.n.11 [Bread]
A000030|FRESH ROSEMARY|AG.01.z [Water];AG.01 [Food]
A000031|HUMMUS|AG.01 [Food]
A000032|SHREDDED CHICKEN|AG.01.d.06 [Fowls]
A000033|PICANTE SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A000034|GROUND CUMIN|AG.01 [Food]
A000035|VEGETABLE OIL|AF.02.a [Food plant/vegetable];AG.01.h.02 [Vegetables];AG.01.f [Fat/oil]
A000036|CORN TORTILLA|AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake];AG.01.i [Corn/cereals/grain]
A000037|OIL|AG.01 [Food];AG.01.f [Fat/oil]
A000038|TORTILLAS|AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake]
A000039|CHICKEN MIXTURE|AG.01.d.06 [Fowls];AG.01.af [Tea manufacture]
A000040|TORTILLA|AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake]
