,ID,Food Concept,Semantic Tags,pure tag
0,A000000,CREAM CHEESE,AG.01.e [Dairy produce];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food],AG.01.e;AG.01.n.18;AG.01.e.02;AG.01.n
1,A000001,BEEF,AG.01.d.03 [Beef];AG.01 [Food],AG.01.d.03;AG.01
2,A000002,OLIVES,AG.01.h.01.e [Fruit containing stone],AG.01.h.01.e
3,A000003,ONION,AG.01.h.02.e [Onion/leek/garlic],AG.01.h.02.e
4,A000004,WORCESTERSHIRE SAUCE,AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.h;AG.01.l.04
5,A000005,WALNUTS,AF.20.c [Edible nuts/nut-trees];AG.01 [Food];AG.01.h.01.f [Nut],AF.20.c;AG.01;AG.01.h.01.f
6,A000006,CHEESE BALL,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
7,A000007,ARTICHOKE HEARTS,AG.01.h.02.b [Stalk vegetables],AG.01.h.02.b
8,A000008,MOZZARELLA CHEESE,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
9,A000009,PARMESAN CHEESE,AG.01.ak [Drinking];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.ak;AG.01.n.18;AG.01.e.02
10,A000010,MAYONNAISE,AG.01.n.01 [Food by way of preparation];AG.01.l.04 [Sauce/dressing],AG.01.n.01;AG.01.l.04
11,A000011,ALMONDS,AF.20.c [Edible nuts/nut-trees];AG.01 [Food];AG.01.n.17 [Confections/sweetmeats];AG.01.h.01.f [Nut],AF.20.c;AG.01;AG.01.n.17;AG.01.h.01.f
12,A000012,TORTILLA CHIPS,AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake];AG.01.h.01 [Fruit/a fruit],AG.01.n.11;AG.01.n.12;AG.01.h.01
13,A000013,CRACKERS,AG.01.n.14 [Biscuit];AG.01 [Food],AG.01.n.14;AG.01
14,A000014,WATER,AG.01.z [Water],AG.01.z
15,A000015,SUN-DRIED TOMATOES,AG.01.h.02.f [Fruits as vegetables],AG.01.h.02.f
16,A000016,GARLIC,AG.01.h.02.e [Onion/leek/garlic],AG.01.h.02.e
17,A000017,PROVOLONE CHEESE,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
18,A000018,PESTO,AG.01 [Food],AG.01
19,A000019,GARLIC MIXTURE,AG.01.h.02.e [Onion/leek/garlic];AG.01.af [Tea manufacture],AG.01.h.02.e;AG.01.af
20,A000020,PROVOLONE,AG.01 [Food],AG.01
21,A000021,EXCESS OIL,AG.01.f [Fat/oil],AG.01.f
22,A000022,SALT,AG.01.l.01 [Salt];AG.01.w [Setting table];AG.01 [Food],AG.01.l.01;AG.01.w;AG.01
23,A000023,GARBANZO BEANS,AG.01.h.02.g [Pulse],AG.01.h.02.g
24,A000024,TAHINI,AG.01 [Food],AG.01
25,A000025,LEMON JUICE,AG.01.y.01.a [Wine];AG.01.ab [Fruit juice/squash];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.m [Substances for food preparation];AG.01.h.01.a [Citrus fruit],AG.01.y.01.a;AG.01.ab;AG.01.l.02;AG.01.m;AG.01.h.01.a
26,A000026,HONEY,AG.01.m [Substances for food preparation];AG.01.l.02 [Sweetener (syrup/honey/chocolate)],AG.01.m;AG.01.l.02
27,A000027,BEANS,AG.01.h.02.g [Pulse];AF.20.f [Pulses/plants producing pulses],AG.01.h.02.g;AF.20.f
28,A000028,OLIVE OIL,AG.01.h.01.e [Fruit containing stone];AG.01.f [Fat/oil],AG.01.h.01.e;AG.01.f
29,A000029,PITA BREADS,AG.01.n.11 [Bread],AG.01.n.11
30,A000030,FRESH ROSEMARY,AG.01.z [Water];AG.01 [Food],AG.01.z;AG.01
31,A000031,HUMMUS,AG.01 [Food],AG.01
32,A000032,SHREDDED CHICKEN,AG.01.d.06 [Fowls],AG.01.d.06
33,A000033,PICANTE SAUCE,AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.h;AG.01.l.04
34,A000034,GROUND CUMIN,AG.01 [Food],AG.01
35,A000035,VEGETABLE OIL,AF.02.a [Food plant/vegetable];AG.01.h.02 [Vegetables];AG.01.f [Fat/oil],AF.02.a;AG.01.h.02;AG.01.f
36,A000036,CORN TORTILLA,AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake];AG.01.i [Corn/cereals/grain],AG.01.n.11;AG.01.n.12;AG.01.i
37,A000037,OIL,AG.01 [Food];AG.01.f [Fat/oil],AG.01;AG.01.f
38,A000038,TORTILLAS,AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake],AG.01.n.11;AG.01.n.12
39,A000039,CHICKEN MIXTURE,AG.01.d.06 [Fowls];AG.01.af [Tea manufacture],AG.01.d.06;AG.01.af
40,A000040,TORTILLA,AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake],AG.01.n.11;AG.01.n.12
41,A000041,CHEESE,AG.01.ae.01 [Wine-making];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.ae.01;AG.01.n.18;AG.01.e.02
42,A000042,ROLLED TORTILLAS,AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake],AG.01.n.11;AG.01.n.12
43,A000043,MEAT SLICE,AG.01.t.08 [Equipment for food preparation];AG.01.d [Animals for food];AG.01 [Food],AG.01.t.08;AG.01.d;AG.01
