ID|Food Concept|URLs
C000000|WORCESTERSHIRE SAUCE|http://purl.bioontology.org/ontology/SNOMEDCT/227519005;http://purl.bioontology.org/ontology/SNOMEDCT/443701000124100
C000001|CREAM CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/226849005;http://purl.bioontology.org/ontology/SNOMEDCT/102264005;http://purl.bioontology.org/ontology/SNOMEDCT/255621006
C000002|CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/102264005
C000003|OLIVES|http://purl.bioontology.org/ontology/SNOMEDCT/227436000
C000004|ONION|http://purl.bioontology.org/ontology/SNOMEDCT/735047000
C000005|BEEF|http://purl.bioontology.org/ontology/SNOMEDCT/226916002
C000006|MOZZARELLA CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/226837009;http://purl.bioontology.org/ontology/SNOMEDCT/102264005
C000007|PARMESAN CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/226838004;http://purl.bioontology.org/ontology/SNOMEDCT/102264005
C000008|TORTILLA CHIPS|http://purl.bioontology.org/ontology/SNOMEDCT/226587006;http://purl.bioontology.org/ontology/SNOMEDCT/227592002;http://purl.bioontology.org/ontology/SNOMEDCT/227282006
C000009|MAYONNAISE|http://purl.bioontology.org/ontology/SNOMEDCT/227549007
C000010|ARTICHOKE|http://purl.bioontology.org/ontology/SNOMEDCT/227215000
C000011|ALMONDS|http://purl.bioontology.org/ontology/SNOMEDCT/256350002
C000012|GARLIC|http://purl.bioontology.org/ontology/SNOMEDCT/735030001
C000013|LEMON JUICE|http://purl.bioontology.org/ontology/SNOMEDCT/735340006;http://purl.bioontology.org/ontology/SNOMEDCT/129559002;http://purl.bioontology.org/ontology/SNOMEDCT/226495007
C000014|OLIVE OIL|http://purl.bioontology.org/ontology/SNOMEDCT/411317002;http://purl.bioontology.org/ontology/SNOMEDCT/41834005
C000015|ROSEMARY|http://purl.bioontology.org/ontology/SNOMEDCT/227410007
C000016|HUMMUS|http://purl.bioontology.org/ontology/SNOMEDCT/227349006
C000017|HONEY|http://purl.bioontology.org/ontology/SNOMEDCT/227598003
C000018|VEGETABLE OIL|http://purl.bioontology.org/ontology/SNOMEDCT/22836000;http://purl.bioontology.org/ontology/SNOMEDCT/412552006
C000019|TORTILLA|http://purl.bioontology.org/ontology/SNOMEDCT/226587006
C000020|CHICKEN|http://purl.bioontology.org/ontology/SNOMEDCT/226955001
C000021|COOKIE|http://purl.bioontology.org/ontology/SNOMEDCT/444001000124100
C000022|SAUCE|http://purl.bioontology.org/ontology/SNOMEDCT/227519005
C000023|CORN|http://purl.bioontology.org/ontology/SNOMEDCT/412357001
C000024|PICKLE|http://purl.bioontology.org/ontology/SNOMEDCT/227538001
C000025|MEAT|http://purl.bioontology.org/ontology/SNOMEDCT/28647000
C000026|SALAD DRESSING|http://purl.bioontology.org/ontology/SNOMEDCT/227927005;http://purl.bioontology.org/ontology/SNOMEDCT/227545001
C000027|CHEDDAR CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/226820002;http://purl.bioontology.org/ontology/SNOMEDCT/102264005
C000028|MILK|http://purl.bioontology.org/ontology/SNOMEDCT/70813002
C000029|ALLSPICE|http://purl.bioontology.org/ontology/SNOMEDCT/227375005
C000030|PEPPER|http://purl.bioontology.org/ontology/SNOMEDCT/412066006;http://purl.bioontology.org/ontology/SNOMEDCT/227563001
C000031|RICE|http://purl.bioontology.org/ontology/SNOMEDCT/67324005
C000032|LAMB|http://purl.bioontology.org/ontology/SNOMEDCT/226942002
C000033|BROWN SUGAR|http://purl.bioontology.org/ontology/SNOMEDCT/230055000
